target_priority,journal,area,publisher,jcr_quartile_or_rank_note,sjr_quartile_note,metric_source_url,journal_url,notes,relevance_tags,last_verified
S,Nature Machine Intelligence,AI / ML,Nature Portfolio,JCR Q1; very high JIF,SJR Q1,https://ooir.org/journals.php?category=Computer+Science%2C+Artificial+Intelligence&field=Computer+Science&metric=jif,https://www.nature.com/natmachintell/,Broad top-tier AI/ML; very selective; APC/open access considerations.,ML;AI;robotics,2026-06-27
S,Nature Biomedical Engineering,Biomedical AI / Engineering,Nature Portfolio,Very high JIF,SJR Q1,https://clarivate.com/academia-government/scientific-and-academic-research/research-funding-analytics/journal-citation-reports/,https://www.nature.com/natbiomedeng/,High-impact biomedical engineering; method+clinical relevance needed.,health AI,2026-06-27
S,International Journal of Computer Vision,Computer Vision,Springer,JCR Q1,SJR Q1,https://www.scimagojr.com/journalrank.php?category=1702,https://www.springer.com/journal/11263,Premier computer vision journal.,computer vision;3D,2026-06-27
S,IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI),Computer Vision / ML,IEEE,JCR Q1; top AI journal,SJR Q1,https://ooir.org/journals.php?category=Computer+Science%2C+Artificial+Intelligence&field=Computer+Science&metric=jif,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=34,Flagship vision/pattern recognition journal.,computer vision;medical imaging,2026-06-27
S,The Lancet Digital Health,Digital Health,Elsevier / Lancet,Very high JIF; clinical,SJR Q1,https://www.scimagojr.com/journalsearch.php?q=24140&tip=sid,https://www.thelancet.com/journals/landig/home,"Clinical/digital health, not pure ML methods.",clinical AI,2026-06-27
S,Artificial Intelligence,General AI,Elsevier,JCR Q1,SJR Q1,https://www.scimagojr.com/journalsearch.php?q=23675&tip=sid,https://www.sciencedirect.com/journal/artificial-intelligence,Classic broad AI journal.,AI;reasoning,2026-06-27
S,IEEE Transactions on Image Processing,Image Processing / Vision,IEEE,High JIF; JCR Q1,SJR Q1,https://ooir.org/journals.php?category=Computer+Science%2C+Artificial+Intelligence&field=Computer+Science&metric=jif,https://signalprocessingsociety.org/publications-resources/ieee-transactions-image-processing,Top image processing journal.,image processing;medical imaging,2026-06-27
S,Journal of Machine Learning Research (JMLR),Machine Learning,Microtome / JMLR,Top ML journal; no APC,SJR Q1,https://www.scimagojr.com/journalsearch.php?q=24775&tip=sid,https://jmlr.org/,Prestigious ML journal; long-form ML contributions.,machine learning;theory,2026-06-27
S,IEEE Transactions on Medical Imaging,Medical Imaging,IEEE,JCR Q1,SJR Q1,https://www.scimagojr.com/journalsearch.php?q=24140&tip=sid,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=42,Flagship medical imaging journal.,medical imaging;3D,2026-06-27
S,Medical Image Analysis,Medical Imaging / AI,Elsevier,JCR Q1,SJR Q1,https://www.scimagojr.com/journalsearch.php?q=24140&tip=sid,https://www.sciencedirect.com/journal/medical-image-analysis,Top fit for medical image analysis and deep learning.,medical imaging;health AI,2026-06-27
S,IEEE Transactions on Neural Networks and Learning Systems,Neural Networks / ML,IEEE,JCR Q1,SJR Q1,https://ooir.org/journals.php?category=Computer+Science%2C+Artificial+Intelligence&field=Computer+Science&metric=jif,https://cis.ieee.org/publications/t-neural-networks-and-learning-systems,Strong neural networks/learning systems journal.,deep learning;neural networks,2026-06-27
S,IEEE Transactions on Robotics,Robotics,IEEE,JCR Q1,SJR Q1,https://www.scimagojr.com/journalrank.php?category=1702,https://www.ieee-ras.org/publications/t-ro,Flagship robotics journal.,robotics,2026-06-27
A,IEEE Transactions on Artificial Intelligence,AI,IEEE,Newer; indexed/expanding,SJR varies,https://www.scimagojr.com/journalrank.php?category=1702,https://cis.ieee.org/publications/t-artificial-intelligence,IEEE AI journal; good broad target.,AI,2026-06-27
A,IEEE Transactions on Cybernetics,AI / Cybernetics,IEEE,JCR Q1,SJR Q1,https://ooir.org/journals.php?category=Computer+Science%2C+Artificial+Intelligence&field=Computer+Science&metric=jif,https://cis.ieee.org/publications/t-cybernetics,Broad intelligent systems/cybernetics.,AI;systems,2026-06-27
A,Artificial Intelligence Review,AI Review,Springer,"High JIF, review-focused",SJR Q1,https://ooir.org/journals.php?category=Computer+Science%2C+Artificial+Intelligence&field=Computer+Science&metric=jif,https://www.springer.com/journal/10462,Review/survey papers; not regular empirical paper target unless survey.,survey;AI,2026-06-27
A,ACM Transactions on Intelligent Systems and Technology,AI Systems,ACM,JCR indexed,SJR Q1/Q2 varies,https://www.scimagojr.com/journalrank.php?category=1702,https://dl.acm.org/journal/tist,Applied intelligent systems.,AI systems,2026-06-27
A,Artificial Intelligence in Medicine,AI in Medicine,Elsevier,JCR indexed,SJR Q1,https://www.scimagojr.com/journalsearch.php?q=24140&tip=sid,https://www.sciencedirect.com/journal/artificial-intelligence-in-medicine,Good for clinical AI methods/applications.,health AI,2026-06-27
A,Journal of Biomedical Informatics,Biomedical Informatics,Elsevier,JCR Q1/Q2 varies,SJR Q1,https://www.scimagojr.com/journalsearch.php?q=24140&tip=sid,https://www.sciencedirect.com/journal/journal-of-biomedical-informatics,"Health informatics, ML, clinical data.",health AI;informatics,2026-06-27
A,IEEE Journal of Biomedical and Health Informatics,Biomedical/Health Informatics,IEEE,JCR Q1,SJR Q1,https://www.scimagojr.com/journalsearch.php?q=24140&tip=sid,https://www.embs.org/jbhi/,Biomedical and health informatics ML.,health AI,2026-06-27
A,Proceedings of the IEEE,Broad Engineering / AI surveys,IEEE,High JIF; review/tutorial,SJR Q1,https://clarivate.com/academia-government/scientific-and-academic-research/research-funding-analytics/journal-citation-reports/,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=5,Prestigious survey/tutorial venue; invitation-heavy.,survey,2026-06-27
A,IEEE Transactions on Computational Imaging,Computational Imaging,IEEE,JCR indexed,SJR Q1/Q2 varies,https://www.scimagojr.com/journalsearch.php?q=24140&tip=sid,https://signalprocessingsociety.org/publications-resources/ieee-transactions-computational-imaging,Good for imaging reconstruction/computational imaging.,medical imaging;computational imaging,2026-06-27
A,Information Fusion,Data Fusion / AI,Elsevier,High JIF; JCR Q1,SJR Q1,https://ooir.org/journals.php?category=Computer+Science%2C+Artificial+Intelligence&field=Computer+Science&metric=jif,https://www.sciencedirect.com/journal/information-fusion,Fusion/multimodal AI; check scope fit.,multimodal;fusion,2026-06-27
A,ACM Transactions on Knowledge Discovery from Data,Data Mining,ACM,JCR indexed,SJR Q1/Q2 varies,https://www.scimagojr.com/journalrank.php?category=1702,https://dl.acm.org/journal/tkdd,Data mining and knowledge discovery.,data mining,2026-06-27
